index,peptide,binder,prediction
0,ELAGIGILTV,0,0.88447
1,ELAGIGILTV,0,0.86903
2,ELAGIGILTV,0,0.85899
3,ELAGIGILTV,0,0.84764
4,ELAGIGILTV,0,0.85432
5,ELAGIGILTV,0,0.89323
6,ELAGIGILTV,0,0.83624
7,ELAGIGILTV,0,0.90231
8,ELAGIGILTV,0,0.86018
9,ELAGIGILTV,0,0.85662
10,ELAGIGILTV,0,0.84732
11,ELAGIGILTV,0,0.88107
12,ELAGIGILTV,0,0.89597
13,ELAGIGILTV,0,0.8759
14,ELAGIGILTV,0,0.87607
15,ELAGIGILTV,0,0.86574
16,ELAGIGILTV,0,0.88371
17,ELAGIGILTV,0,0.87589
18,ELAGIGILTV,0,0.88577
19,ELAGIGILTV,0,0.88665
20,ELAGIGILTV,0,0.88823
21,ELAGIGILTV,0,0.89166
22,ELAGIGILTV,0,0.88486
23,ELAGIGILTV,0,0.85632
24,ELAGIGILTV,0,0.88807
25,ELAGIGILTV,0,0.85243
26,ELAGIGILTV,0,0.86907
27,ELAGIGILTV,0,0.86206
28,ELAGIGILTV,0,0.86548
29,ELAGIGILTV,0,0.86367
30,ELAGIGILTV,0,0.87457
31,ELAGIGILTV,0,0.85782
32,ELAGIGILTV,0,0.85218
33,ELAGIGILTV,0,0.8541
34,ELAGIGILTV,0,0.86779
35,ELAGIGILTV,0,0.87734
36,ELAGIGILTV,0,0.86756
37,ELAGIGILTV,0,0.89742
38,ELAGIGILTV,0,0.85028
39,ELAGIGILTV,0,0.84889
40,ELAGIGILTV,0,0.83254
41,ELAGIGILTV,0,0.8654
42,ELAGIGILTV,0,0.87552
43,ELAGIGILTV,0,0.91681
44,ELAGIGILTV,0,0.88332
45,ELAGIGILTV,0,0.89549
46,ELAGIGILTV,0,0.8706
47,ELAGIGILTV,0,0.91234
48,ELAGIGILTV,0,0.8524
49,ELAGIGILTV,0,0.86529
50,ELAGIGILTV,0,0.8635
51,ELAGIGILTV,0,0.88118
52,ELAGIGILTV,0,0.85087
53,ELAGIGILTV,0,0.87976
54,ELAGIGILTV,0,0.86364
55,ELAGIGILTV,0,0.86489
56,ELAGIGILTV,0,0.86216
57,ELAGIGILTV,0,0.8829
58,ELAGIGILTV,0,0.87523
59,ELAGIGILTV,0,0.86384
60,ELAGIGILTV,0,0.88151
61,ELAGIGILTV,0,0.89324
62,ELAGIGILTV,0,0.88332
63,ELAGIGILTV,0,0.85199
64,ELAGIGILTV,0,0.87027
65,ELAGIGILTV,0,0.88772
66,ELAGIGILTV,0,0.86293
67,ELAGIGILTV,0,0.8812
68,ELAGIGILTV,0,0.85687
69,ELAGIGILTV,0,0.89083
70,ELAGIGILTV,0,0.87561
71,ELAGIGILTV,0,0.85685
72,ELAGIGILTV,0,0.85661
73,ELAGIGILTV,0,0.85684
74,ELAGIGILTV,0,0.84537
75,ELAGIGILTV,0,0.85384
76,ELAGIGILTV,0,0.91021
77,ELAGIGILTV,0,0.90385
78,ELAGIGILTV,0,0.91662
79,ELAGIGILTV,0,0.86734
80,ELAGIGILTV,0,0.90386
81,ELAGIGILTV,0,0.89491
82,ELAGIGILTV,0,0.9129
83,ELAGIGILTV,0,0.86254
84,ELAGIGILTV,0,0.85068
85,ELAGIGILTV,0,0.8594
86,ELAGIGILTV,0,0.8639
87,ELAGIGILTV,0,0.89737
