index,peptide,binder,prediction
0,FEDLRVLSF,0,0.89244
1,FEDLRVLSF,0,0.85694
2,FEDLRVLSF,0,0.84202
3,FEDLRVLSF,0,0.81204
4,FEDLRVLSF,0,0.84136
5,FEDLRVLSF,0,0.85771
6,FEDLRVLSF,0,0.83635
7,FEDLRVLSF,0,0.86325
8,FEDLRVLSF,0,0.8499
9,FEDLRVLSF,0,0.84177
10,FEDLRVLSF,0,0.84445
11,FEDLRVLSF,0,0.88328
12,FEDLRVLSF,0,0.84885
13,FEDLRVLSF,0,0.87663
14,FEDLRVLSF,0,0.85541
15,FEDLRVLSF,0,0.86144
16,FEDLRVLSF,0,0.84187
17,FEDLRVLSF,0,0.8906
18,FEDLRVLSF,0,0.87966
19,FEDLRVLSF,0,0.85628
20,FEDLRVLSF,0,0.86758
21,FEDLRVLSF,0,0.87992
22,FEDLRVLSF,0,0.8604
23,FEDLRVLSF,0,0.85944
24,FEDLRVLSF,0,0.84828
25,FEDLRVLSF,0,0.8465
26,FEDLRVLSF,0,0.86348
27,FEDLRVLSF,0,0.83287
28,FEDLRVLSF,0,0.8661
29,FEDLRVLSF,0,0.86117
30,FEDLRVLSF,0,0.85063
31,FEDLRVLSF,0,0.85516
32,FEDLRVLSF,0,0.8515
33,FEDLRVLSF,0,0.84401
34,FEDLRVLSF,0,0.88002
35,FEDLRVLSF,0,0.87186
36,FEDLRVLSF,0,0.83257
37,FEDLRVLSF,0,0.84189
38,FEDLRVLSF,0,0.83449
39,FEDLRVLSF,0,0.83806
40,FEDLRVLSF,0,0.80479
41,FEDLRVLSF,0,0.84056
42,FEDLRVLSF,0,0.85755
43,FEDLRVLSF,0,0.87186
44,FEDLRVLSF,0,0.87564
45,FEDLRVLSF,0,0.8854
46,FEDLRVLSF,0,0.87931
47,FEDLRVLSF,0,0.88365
48,FEDLRVLSF,0,0.85243
49,FEDLRVLSF,0,0.85891
50,FEDLRVLSF,0,0.84499
51,FEDLRVLSF,0,0.84163
52,FEDLRVLSF,0,0.8408
53,FEDLRVLSF,0,0.86771
54,FEDLRVLSF,0,0.84042
55,FEDLRVLSF,0,0.87999
56,FEDLRVLSF,0,0.86617
57,FEDLRVLSF,0,0.85804
58,FEDLRVLSF,0,0.86298
59,FEDLRVLSF,0,0.83884
60,FEDLRVLSF,0,0.84532
61,FEDLRVLSF,0,0.8476
62,FEDLRVLSF,0,0.87019
63,FEDLRVLSF,0,0.84306
64,FEDLRVLSF,0,0.8505
65,FEDLRVLSF,0,0.83976
66,FEDLRVLSF,0,0.85896
67,FEDLRVLSF,0,0.85433
68,FEDLRVLSF,0,0.83317
69,FEDLRVLSF,0,0.90255
70,FEDLRVLSF,0,0.84918
